cog_name,type,count
g__Enterococcus_silix_COG_1079,core,690
g__Enterococcus_silix_COG_1276,core,690
g__Enterococcus_silix_COG_1571,core,690
g__Enterococcus_silix_COG_2048,core,690
g__Enterococcus_silix_COG_557,core,690
g__Enterococcus_silix_COG_1764,core,690
g__Enterococcus_silix_COG_5562,core,690
g__Enterococcus_silix_COG_1770,core,690
g__Enterococcus_silix_COG_922,core,690
g__Enterococcus_silix_COG_852,core,690
g__Enterococcus_silix_COG_494,core,690
g__Enterococcus_silix_COG_834,core,690
g__Enterococcus_silix_COG_111,core,690
g__Enterococcus_silix_COG_727,core,690
g__Enterococcus_silix_COG_1706,core,690
g__Enterococcus_silix_COG_1034,core,690
g__Enterococcus_silix_COG_1232,core,690
g__Enterococcus_silix_COG_953,core,690
g__Enterococcus_silix_COG_935,core,690
g__Enterococcus_silix_COG_990,core,690
g__Enterococcus_silix_COG_797,core,690
g__Enterococcus_silix_COG_5864,core,690
g__Enterococcus_silix_COG_267,core,690
g__Enterococcus_silix_COG_1030,core,690
g__Enterococcus_silix_COG_1074,core,690
g__Enterococcus_silix_COG_1032,core,690
g__Enterococcus_silix_COG_1361,core,690
g__Enterococcus_silix_COG_726,core,690
g__Enterococcus_silix_COG_5378,core,690
g__Enterococcus_silix_COG_1774,core,690
g__Enterococcus_silix_COG_828,core,690
g__Enterococcus_silix_COG_653,core,690
g__Enterococcus_silix_COG_919,core,690
g__Enterococcus_silix_COG_205,core,690
g__Enterococcus_silix_COG_1514,core,690
g__Enterococcus_silix_COG_1298,core,690
g__Enterococcus_silix_COG_4389,core,690
g__Enterococcus_silix_COG_1192,core,690
g__Enterococcus_silix_COG_986,core,690
g__Enterococcus_silix_COG_384,core,690
g__Enterococcus_silix_COG_140,core,690
g__Enterococcus_silix_COG_1773,core,690
g__Enterococcus_silix_COG_1702,core,689
g__Enterococcus_silix_COG_1218,core,689
g__Enterococcus_silix_COG_475,core,689
g__Enterococcus_silix_COG_5056,core,689
g__Enterococcus_silix_COG_3391,core,689
g__Enterococcus_silix_COG_7780,core,689
g__Enterococcus_silix_COG_1070,core,689
g__Enterococcus_silix_COG_3658,core,689
g__Enterococcus_silix_COG_1745,core,689
g__Enterococcus_silix_COG_1219,core,689
g__Enterococcus_silix_COG_1355,core,689
g__Enterococcus_silix_COG_682,core,689
g__Enterococcus_silix_COG_18631,core,689
g__Enterococcus_silix_COG_2995,core,689
g__Enterococcus_silix_COG_1710,core,689
g__Enterococcus_silix_COG_188,core,689
g__Enterococcus_silix_COG_1526,core,689
g__Enterococcus_silix_COG_1708,core,689
g__Enterococcus_silix_COG_7613,core,689
g__Enterococcus_silix_COG_248,core,689
g__Enterococcus_silix_COG_758,core,689
